activity_type,pressure_cat,biotic_group,service_division,service_section,n_services,RCSES
Agriculture & Forestry,Biological disturbance,Marine mammals,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,5.525131368041614e-10
Agriculture & Forestry,Biological disturbance,Marine mammals,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,9.208552280069357e-11
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Marine mammals,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,1.2585926863377492e-8
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Marine mammals,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,2.097654477229582e-9
Agriculture & Forestry,Physical change,Marine mammals,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,1.750152904848126e-10
Agriculture & Forestry,Physical change,Marine mammals,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,2.91692150808021e-11
Agriculture & Forestry,Biological disturbance,Marine mammals,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,3.057495988070675e-7
Agriculture & Forestry,Biological disturbance,Marine mammals,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,9.747525784566546e-5
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Marine mammals,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,6.964797455045379e-6
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Marine mammals,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,0.0022204294966279773
Agriculture & Forestry,Physical change,Marine mammals,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,9.684992317169244e-8
Agriculture & Forestry,Physical change,Marine mammals,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,3.087647954511524e-5
Agriculture & Forestry,Biological disturbance,Macrophytes,Biomass,Provisioning,18,4.014154336642627e-6
Agriculture & Forestry,Biological disturbance,Macrophytes,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,4.003190557136822e-7
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Macrophytes,Biomass,Provisioning,18,2.0599571432068983e-4
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Macrophytes,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,2.0543308234355425e-5
Agriculture & Forestry,Physical change,Macrophytes,Biomass,Provisioning,18,1.20821310745091e-5
Agriculture & Forestry,Physical change,Macrophytes,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,1.2049131391399773e-6
Agriculture & Forestry,Biological disturbance,Macrophytes,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,2.784067420408501e-7
Agriculture & Forestry,Biological disturbance,Macrophytes,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,1.6558333224250215e-8
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Macrophytes,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,1.4287092844160061e-5
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Macrophytes,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,8.497295804880023e-7
Agriculture & Forestry,Physical change,Macrophytes,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,8.379714548240258e-7
Agriculture & Forestry,Physical change,Macrophytes,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,4.983862991130452e-8
Agriculture & Forestry,Biological disturbance,Macrophytes,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,3.0839697465043934e-8
Agriculture & Forestry,Biological disturbance,Macrophytes,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,1.2972734548361412e-5
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Macrophytes,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,1.5826111743523816e-6
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Macrophytes,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,6.657262018025676e-4
Agriculture & Forestry,Physical change,Macrophytes,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,9.28238517561612e-8
Agriculture & Forestry,Physical change,Macrophytes,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,3.9046400826533374e-5
Agriculture & Forestry,Biological disturbance,Macroalgae,Biomass,Provisioning,18,1.0375332169616001e-4
Agriculture & Forestry,Biological disturbance,Macroalgae,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,4.867022899856692e-6
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Macroalgae,Biomass,Provisioning,18,0.00534844316633738
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Macroalgae,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,2.5089312750272645e-4
Agriculture & Forestry,Physical change,Macroalgae,Biomass,Provisioning,18,3.125164836132016e-4
Agriculture & Forestry,Physical change,Macroalgae,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,1.4660011433488739e-5
Agriculture & Forestry,Biological disturbance,Macroalgae,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,3.3848300990109477e-6
Agriculture & Forestry,Biological disturbance,Macroalgae,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,2.013138915963157e-7
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Macroalgae,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,1.744866681500975e-4
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Macroalgae,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,1.0377652398929883e-5
Agriculture & Forestry,Physical change,Macroalgae,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,1.019548273614624e-5
Agriculture & Forestry,Physical change,Macroalgae,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,6.063797136867795e-7
Agriculture & Forestry,Biological disturbance,Macroalgae,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,3.7494471383439346e-7
Agriculture & Forestry,Biological disturbance,Macroalgae,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,1.5772068608643822e-5
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Macroalgae,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,1.932825339640289e-5
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Macroalgae,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,8.130439699650354e-4
Agriculture & Forestry,Physical change,Macroalgae,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,1.1293749597726815e-6
Agriculture & Forestry,Physical change,Macroalgae,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,4.750721557921896e-5
Agriculture & Forestry,Biological disturbance,Infauna,Biomass,Provisioning,18,2.498369761768865e-5
Agriculture & Forestry,Biological disturbance,Infauna,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,2.552367071607332e-5
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Infauna,Biomass,Provisioning,18,0.0012820968516702245
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Infauna,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,0.0013098068335960164
Agriculture & Forestry,Physical change,Infauna,Biomass,Provisioning,18,7.519798294434357e-5
Agriculture & Forestry,Physical change,Infauna,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,7.682323827940599e-5
Agriculture & Forestry,Biological disturbance,Infauna,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,4.954831649900556e-5
Agriculture & Forestry,Biological disturbance,Infauna,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,9.491332995058857e-6
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Infauna,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,0.002542687698235595
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Infauna,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,4.8706994206106123e-4
Agriculture & Forestry,Physical change,Infauna,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,1.491345883235141e-4
Agriculture & Forestry,Physical change,Infauna,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,2.856779279045531e-5
Agriculture & Forestry,Biological disturbance,Infauna,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,5.635559322517426e-5
Agriculture & Forestry,Biological disturbance,Infauna,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,9.747616889317576e-6
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Infauna,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,0.0028920190179074147
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Infauna,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,5.002217492511326e-4
Agriculture & Forestry,Physical change,Infauna,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,1.696236883352528e-4
Agriculture & Forestry,Physical change,Infauna,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,2.9339177082896166e-5
Agriculture & Forestry,Biological disturbance,Fish,Biomass,Provisioning,18,2.1906501948796493e-4
Agriculture & Forestry,Biological disturbance,Fish,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,1.021882528916803e-5
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Fish,Biomass,Provisioning,18,0.0066759187170732735
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Fish,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,3.1141460728834644e-4
Agriculture & Forestry,Physical change,Fish,Biomass,Provisioning,18,6.985929217494782e-5
Agriculture & Forestry,Physical change,Fish,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,3.258758076617314e-6
Agriculture & Forestry,Biological disturbance,Fish,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,1.2198705467972254e-4
Agriculture & Forestry,Biological disturbance,Fish,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,4.44357375515358e-7
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Fish,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,0.0037175066264823766
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Fish,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,1.3541613020674483e-5
Agriculture & Forestry,Physical change,Fish,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,3.890136962236571e-5
Agriculture & Forestry,Physical change,Fish,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,1.4170446654960273e-7
Agriculture & Forestry,Biological disturbance,Fish,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,4.7591156824764375e-5
Agriculture & Forestry,Biological disturbance,Fish,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,7.329918713156367e-5
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Fish,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,0.0014503214404391416
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Fish,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,0.0022337633660619457
Agriculture & Forestry,Physical change,Fish,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,1.5176702046433427e-5
Agriculture & Forestry,Physical change,Fish,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,2.3374929242372262e-5
Agriculture & Forestry,Biological disturbance,Epifauna,Biomass,Provisioning,18,3.9962624218522555e-5
Agriculture & Forestry,Biological disturbance,Epifauna,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,2.322114803675729e-5
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Epifauna,Biomass,Provisioning,18,0.002060010969509262
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Epifauna,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,0.001197013975327144
Agriculture & Forestry,Physical change,Epifauna,Biomass,Provisioning,18,1.2037139745918949e-4
Agriculture & Forestry,Physical change,Epifauna,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,6.994440666625793e-5
Agriculture & Forestry,Biological disturbance,Epifauna,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,3.324827839389111e-5
Agriculture & Forestry,Biological disturbance,Epifauna,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,2.855314017637515e-6
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Epifauna,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,0.001713896911128467
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Epifauna,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,1.4718698565847847e-4
Agriculture & Forestry,Physical change,Epifauna,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,1.0014712025667895e-4
Agriculture & Forestry,Physical change,Epifauna,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,8.600489712798628e-6
Agriculture & Forestry,Biological disturbance,Epifauna,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,1.0814562991304054e-4
Agriculture & Forestry,Biological disturbance,Epifauna,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,1.5851793662074098e-5
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Epifauna,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,0.005574738603429705
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Epifauna,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,8.17135247467923e-4
Agriculture & Forestry,Physical change,Epifauna,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,3.257453897560456e-4
Agriculture & Forestry,Physical change,Epifauna,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,4.77471785862897e-5
Agriculture & Forestry,Biological disturbance,Cephalopods,Biomass,Provisioning,18,7.250206966713334e-8
Agriculture & Forestry,Biological disturbance,Cephalopods,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,2.2899606061143404e-8
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Cephalopods,Biomass,Provisioning,18,2.2094715306382224e-6
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Cephalopods,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,6.978563217190894e-7
Agriculture & Forestry,Physical change,Cephalopods,Biomass,Provisioning,18,2.3120730457118683e-8
Agriculture & Forestry,Physical change,Cephalopods,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,7.302627659385441e-9
Agriculture & Forestry,Biological disturbance,Cephalopods,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,2.739553910971936e-8
Agriculture & Forestry,Biological disturbance,Cephalopods,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,4.565923184953226e-9
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Cephalopods,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,8.348680804190923e-7
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Cephalopods,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,1.3914468006984872e-7
Agriculture & Forestry,Physical change,Cephalopods,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,8.736369573880037e-9
Agriculture & Forestry,Physical change,Cephalopods,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,1.4560615956466729e-9
Agriculture & Forestry,Biological disturbance,Cephalopods,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,1.0664814324953868e-7
Agriculture & Forestry,Biological disturbance,Cephalopods,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,7.329918713156367e-5
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Cephalopods,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,3.2500594450216254e-6
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Cephalopods,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,0.0022337633660619457
Agriculture & Forestry,Physical change,Cephalopods,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,3.400982875586178e-8
Agriculture & Forestry,Physical change,Cephalopods,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,2.3374929242372262e-5
Agriculture & Forestry,Biological disturbance,Birds,Biomass,Provisioning,18,3.569787297985573e-12
Agriculture & Forestry,Biological disturbance,Birds,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,4.319466494483116e-9
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Birds,Biomass,Provisioning,18,4.028022292030368e-11
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Birds,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,4.8739339005644524e-8
Agriculture & Forestry,Physical change,Birds,Biomass,Provisioning,18,1.1307737668278978e-12
Agriculture & Forestry,Physical change,Birds,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,1.368243817050331e-9
Agriculture & Forestry,Biological disturbance,Birds,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,1.9519539736300384e-8
Agriculture & Forestry,Biological disturbance,Birds,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,3.584363339599318e-10
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Birds,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,2.202516134010522e-7
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Birds,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,4.044469384153437e-9
Agriculture & Forestry,Physical change,Birds,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,6.183052835337983e-9
Agriculture & Forestry,Physical change,Birds,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,1.1353909061992871e-10
